Delivery_person_Age,Delivery_person_Ratings,Order_Date,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),order_prepare_time (min),distance,time_category,day_of_week
38.0,4.9,2022-02-11,Cloudy,High,1,Drinks,scooter,1.0,No,Urban,25,5,6.164143763345328,Afternoon,Friday
32.0,3.5,2022-03-08,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,35,10,17.259376716936664,Night,Tuesday
32.0,4.6,2022-04-02,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,30,10,19.8806889061088,Night,Saturday
33.0,4.9,2022-03-08,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,22,15,10.706184356730288,Evening,Tuesday
20.0,4.7,2022-04-03,Windy,High,1,Snack,scooter,0.0,No,Urban,10,10,6.117369061558013,Afternoon,Sunday
35.0,5.0,2022-04-01,Sunny,Low,2,Snack,scooter,1.0,No,Urban,11,10,3.06801652533814,Morning,Friday
26.0,4.9,2022-03-28,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,11,15,3.0990100939446292,Morning,Monday
35.0,4.3,2022-03-14,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,33,5,10.844094035055107,Evening,Monday
37.0,4.7,2022-04-04,Sandstorms,Jam,0,Snack,motorcycle,3.0,No,Metropolitian,52,5,13.661199383826538,Night,Monday
28.0,4.6,2022-03-08,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,22,15,16.79799879130621,Night,Tuesday
23.0,4.9,2022-03-24,Sunny,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,11,5,9.1598473686937,Night,Thursday
37.0,4.8,2022-03-09,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,26,10,6.196805343667927,Evening,Wednesday
33.0,5.0,2022-03-19,Sunny,High,2,Snack,scooter,1.0,No,Metropolitian,18,10,1.5179748068733323,Afternoon,Saturday
31.0,4.9,2022-04-03,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,5,6.028674005255561,Evening,Sunday
31.0,4.8,2022-03-25,Stormy,Low,2,Drinks,scooter,1.0,No,Metropolitian,23,10,17.044988256333504,Night,Friday
25.0,5.0,2022-02-13,Cloudy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,15,15,4.707104052532131,Night,Sunday
28.0,4.8,2022-04-04,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,36,10,12.43888855192116,Night,Monday
31.0,4.7,2022-03-26,Cloudy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,16,15,9.107220024938373,Night,Saturday
39.0,4.2,2022-03-02,Fog,Jam,2,Snack,scooter,1.0,No,Semi-Urban,49,15,12.552275755914394,Night,Wednesday
32.0,4.5,2022-03-26,Windy,Low,2,Buffet,scooter,0.0,No,Metropolitian,20,15,1.4881912567305338,Morning,Saturday
36.0,4.7,2022-03-13,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,30,5,9.414207472710387,Night,Sunday
25.0,4.8,2022-03-29,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,18,10,11.902753837483976,Night,Tuesday
30.0,4.4,2022-03-12,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,34,15,10.624594799022988,Night,Saturday
33.0,5.0,2022-03-31,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,24,5,16.790293751513897,Night,Thursday
36.0,4.9,2022-03-17,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,17,15,6.118069582492733,Evening,Thursday
21.0,4.8,2022-02-15,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,14,10,2.992439854305071,Morning,Tuesday
23.0,4.8,2022-03-07,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,15,10,3.1380694073889375,Morning,Monday
35.0,4.8,2022-03-28,Fog,Medium,2,Buffet,scooter,1.0,No,Urban,16,10,6.276138627413788,Evening,Monday
39.0,4.6,2022-03-16,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,36,5,13.944598794232533,Night,Wednesday
22.0,4.7,2022-03-17,Sunny,High,1,Buffet,scooter,1.0,No,Urban,18,5,6.071959804867507,Afternoon,Thursday
32.0,4.6,2022-03-15,Fog,Medium,1,Meal,scooter,0.0,No,Metropolitian,17,15,6.071422120848535,Evening,Tuesday
24.0,4.8,2022-03-25,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,15,5,12.552275755914394,Night,Friday
29.0,4.7,2022-03-09,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,17,10,3.1380694073889375,Morning,Wednesday
26.0,4.7,2022-03-05,Fog,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,10,0,9.204061108012812,Night,Saturday
20.0,4.5,2022-02-11,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,27,15,7.845173108613388,Night,Friday
35.0,4.1,2022-03-12,Sandstorms,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,37,15,13.942135995521298,Night,Saturday
34.0,4.7,2022-03-19,Windy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,28,10,6.049848888721861,Afternoon,Saturday
30.0,4.8,2022-02-16,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,25,15,17.259376716936664,Night,Wednesday
25.0,4.4,2022-03-27,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,39,5,17.039320664078645,Evening,Sunday
25.0,4.7,2022-03-27,Stormy,Medium,0,Meal,motorcycle,0.0,No,Urban,20,5,16.790293751513897,Evening,Sunday
30.0,5.0,2022-03-24,Stormy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,31,5,2.976038261804114,Afternoon,Thursday
24.0,4.6,2022-03-09,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,13,10,9.204543446314432,Night,Wednesday
39.0,4.8,2022-03-03,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,28,15,7.648215327844156,Night,Thursday
25.0,4.8,2022-02-15,Windy,High,1,Snack,scooter,1.0,No,Urban,19,5,6.164026189217134,Afternoon,Tuesday
37.0,4.6,2022-02-18,Fog,Low,0,Buffet,motorcycle,2.0,Yes,Urban,42,15,12.189899417672075,Night,Friday
24.0,5.0,2022-03-01,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,5,1.5496181081271545,Morning,Tuesday
25.0,4.2,2022-03-23,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,39,15,16.872927418719993,Night,Wednesday
32.0,4.6,2022-04-01,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,25,10,1.507218847377163,Morning,Friday
38.0,4.9,2022-03-11,Cloudy,Low,2,Drinks,scooter,1.0,No,Urban,15,15,3.020706639820848,Morning,Friday
36.0,4.8,2022-03-14,Sunny,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,15,5,13.391515800864783,Evening,Monday
25.0,5.0,2022-03-18,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,15,15,16.695945260595646,Night,Friday
29.0,5.0,2022-04-01,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,18,5,7.756832982430433,Night,Friday
36.0,4.7,2022-04-04,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,29,10,13.750484667228939,Night,Monday
33.0,4.7,2022-03-11,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,20,5,7.774259486970199,Night,Friday
36.0,4.4,2022-03-13,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,39,15,6.2054267911859675,Afternoon,Sunday
21.0,4.8,2022-03-04,Windy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,19,15,16.824024800777703,Night,Friday
25.0,4.8,2022-03-26,Cloudy,Low,1,Snack,scooter,1.0,No,Urban,19,0,4.601882860108752,Night,Saturday
25.0,4.6,2022-03-01,Stormy,Low,2,Snack,motorcycle,1.0,No,Urban,15,15,1.55490238236473,Morning,Tuesday
27.0,4.6,2022-03-04,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,29,15,13.94442758388673,Night,Friday
23.0,4.8,2022-03-18,Cloudy,Low,2,Snack,scooter,1.0,No,Urban,22,5,16.80256330471995,Night,Friday
21.0,4.3,2022-03-23,Fog,Jam,1,Drinks,scooter,0.0,No,Metropolitian,42,10,20.16747676677057,Night,Wednesday
27.0,4.7,2022-03-15,Sandstorms,Low,2,Snack,scooter,0.0,No,Urban,12,15,3.035902790349682,Morning,Tuesday
32.0,4.2,2022-03-08,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,38,10,20.212460530271784,Night,Tuesday
25.0,4.6,2022-03-10,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,15,16.6952795873628,Night,Thursday
39.0,4.7,2022-02-11,Cloudy,Low,1,Meal,scooter,0.0,No,Metropolitian,15,15,2.980982302644137,Morning,Friday
27.0,4.6,2022-03-14,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,24,5,12.142518774381282,Night,Monday
31.0,4.8,2022-03-01,Sandstorms,Low,1,Snack,scooter,0.0,No,Metropolitian,24,10,7.747259356563763,Night,Tuesday
31.0,4.8,2022-03-01,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,13,5,9.043027721349308,Night,Tuesday
20.0,4.8,2022-03-30,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,16,15,1.5514770796415485,Morning,Wednesday
36.0,4.9,2022-03-02,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,42,10,12.056953151950662,Evening,Wednesday
20.0,4.9,2022-03-20,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,17,10,13.561204009757525,Night,Sunday
24.0,4.6,2022-04-03,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,25,15,4.464417671579878,Night,Sunday
39.0,4.2,2022-03-29,Fog,Medium,1,Snack,scooter,0.0,No,Metropolitian,39,5,16.610672955997153,Evening,Tuesday
37.0,4.8,2022-03-17,Sunny,High,2,Meal,scooter,0.0,No,Metropolitian,18,10,6.219419664894865,Afternoon,Thursday
22.0,4.5,2022-02-15,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,18,15,7.4519201744257,Night,Tuesday
33.0,4.7,2022-03-08,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,49,10,16.577488524535227,Night,Tuesday
23.0,4.7,2022-02-17,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,15,10,4.53364788897892,Night,Thursday
27.0,4.6,2022-03-31,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,5,12.396712257294284,Night,Thursday
34.0,4.7,2022-03-01,Sunny,High,2,Snack,scooter,0.0,No,Metropolitian,23,15,6.108440050157439,Afternoon,Tuesday
26.0,5.0,2022-04-03,Fog,Low,2,Meal,scooter,1.0,No,Urban,11,10,1.5180601842214017,Morning,Sunday
31.0,4.6,2022-03-24,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,25,15,9.074471773144202,Night,Thursday
32.0,4.9,2022-03-07,Fog,Low,2,Snack,motorcycle,0.0,No,Metropolitian,18,5,3.059241752280784,Morning,Monday
28.0,4.8,2022-03-24,Fog,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,18,5,7.747793362638613,Night,Thursday
24.0,4.9,2022-03-30,Fog,Medium,1,Meal,scooter,1.0,No,Urban,17,15,6.276138627413788,Evening,Wednesday
33.0,4.4,2022-03-05,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,10,1.534129114265342,Morning,Saturday
20.0,4.6,2022-03-18,Fog,Jam,0,Buffet,motorcycle,0.0,Yes,Metropolitian,44,15,13.945629461520332,Night,Friday
31.0,4.3,2022-03-13,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,20,15,9.329319541894728,Night,Sunday
36.0,5.0,2022-03-31,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,35,10,10.586720360323753,Night,Thursday
31.0,4.2,2022-03-23,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,50,10,17.042634005428827,Night,Wednesday
39.0,4.1,2022-03-24,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,34,5,9.204512751051547,Night,Thursday
29.0,4.6,2022-03-12,Sunny,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,17,15,12.142670416282547,Night,Saturday
37.0,4.9,2022-03-09,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,27,10,4.6646029783419385,Evening,Wednesday
33.0,4.7,2022-03-17,Cloudy,High,0,Snack,motorcycle,0.0,No,Urban,26,10,6.276138627413788,Afternoon,Thursday
31.0,3.9,2022-03-18,Cloudy,Low,1,Buffet,scooter,1.0,No,Metropolitian,35,10,10.69100092566136,Night,Friday
37.0,4.6,2022-03-19,Windy,High,0,Drinks,motorcycle,1.0,No,Urban,41,5,6.276138627413788,Afternoon,Saturday
26.0,4.4,2022-03-07,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,23,10,9.296531667508525,Night,Monday
23.0,4.8,2022-04-03,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,19,10,3.1380694073889375,Morning,Sunday
36.0,4.9,2022-03-11,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,27,15,1.5690347154047224,Morning,Friday
39.0,4.8,2022-04-01,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,28,15,6.205591081602371,Afternoon,Friday
20.0,4.7,2022-03-20,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,24,10,12.438452034187614,Evening,Sunday
20.0,5.0,2022-03-31,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Urban,36,15,20.166286848244525,Night,Thursday
29.0,4.3,2022-02-13,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,28,5,9.067759514408273,Night,Sunday
36.0,4.8,2022-03-29,Fog,Medium,2,Drinks,motorcycle,1.0,No,Urban,31,5,17.103104604488404,Evening,Tuesday
36.0,4.0,2022-03-16,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,44,5,13.611105169020725,Night,Wednesday
22.0,4.8,2022-03-14,Windy,Low,1,Drinks,scooter,1.0,No,Metropolitian,15,15,12.056968418188383,Night,Monday
38.0,4.4,2022-03-31,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,5,10.704957546119868,Evening,Thursday
39.0,4.9,2022-03-17,Fog,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,30,15,7.5891604266055,Night,Thursday
24.0,4.9,2022-03-28,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,10,7.551948584727422,Evening,Monday
35.0,4.8,2022-03-04,Fog,Medium,0,Meal,motorcycle,3.0,No,Metropolitian,48,10,13.804873199406153,Evening,Friday
39.0,4.7,2022-02-14,Windy,Medium,1,Snack,motorcycle,1.0,No,Urban,21,5,10.900635211617388,Evening,Monday
31.0,4.3,2022-03-25,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,44,10,12.099040609550999,Night,Friday
37.0,4.5,2022-03-17,Windy,Low,2,Drinks,scooter,0.0,No,Metropolitian,26,15,1.5495096221395899,Morning,Thursday
37.0,4.7,2022-04-01,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,26,5,4.654256824131882,Night,Friday
33.0,5.0,2022-03-19,Windy,High,1,Meal,motorcycle,1.0,No,Metropolitian,31,5,1.5269331229160865,Afternoon,Saturday
24.0,4.6,2022-03-07,Stormy,Low,2,Meal,scooter,1.0,No,Urban,19,15,9.414207472710387,Night,Monday
33.0,4.5,2022-03-02,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,18,5,11.902924672837507,Night,Wednesday
37.0,4.6,2022-03-29,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,32,10,13.563852221699795,Evening,Tuesday
25.0,4.9,2022-03-07,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,17,5,7.6696078159334125,Night,Monday
38.0,4.7,2022-03-30,Windy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,31,10,6.205474967025106,Afternoon,Wednesday
31.0,4.6,2022-03-19,Windy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,25,10,9.308258482124039,Evening,Saturday
25.0,4.8,2022-03-15,Cloudy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,22,15,9.164099415262326,Night,Tuesday
35.0,4.9,2022-03-02,Fog,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,43,5,10.858950700039365,Night,Wednesday
39.0,4.7,2022-03-31,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,42,10,10.550295445173377,Night,Thursday
38.0,3.9,2022-03-06,Stormy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,42,10,12.082423061297098,Night,Sunday
35.0,4.7,2022-03-21,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,34,10,4.647989333607506,Night,Monday
29.0,4.7,2022-03-01,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,17,15,2.977717993714077,Morning,Tuesday
27.0,4.6,2022-03-24,Stormy,Jam,1,Snack,scooter,0.0,No,Metropolitian,25,5,4.5541509794301644,Night,Thursday
38.0,4.3,2022-04-04,Sandstorms,Jam,0,Meal,motorcycle,1.0,Yes,Semi-Urban,54,10,13.962004343954739,Night,Monday
26.0,4.1,2022-02-12,Fog,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,36,5,13.41246037752413,Night,Saturday
36.0,4.9,2022-04-05,Sunny,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,17,10,9.308662119355633,Evening,Tuesday
20.0,4.5,2022-03-17,Fog,High,2,Meal,motorcycle,1.0,No,Metropolitian,26,5,6.20545250887856,Afternoon,Thursday
23.0,4.6,2022-03-31,Fog,Jam,0,Snack,motorcycle,2.0,Yes,Metropolitian,46,15,13.764250249667594,Night,Thursday
37.0,5.0,2022-02-17,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,29,10,9.066849655818128,Night,Thursday
26.0,4.8,2022-03-09,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,23,5,9.297076456518703,Night,Wednesday
29.0,5.0,2022-03-27,Sandstorms,Low,1,Snack,scooter,1.0,No,Urban,11,15,12.142486110300185,Night,Sunday
26.0,4.9,2022-03-25,Stormy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,28,15,16.612635818204165,Evening,Friday
29.0,4.8,2022-03-11,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,25,5,9.177225998300312,Night,Friday
29.0,4.7,2022-03-03,Sandstorms,Low,2,Snack,motorcycle,0.0,No,Metropolitian,11,15,3.013958870983999,Morning,Thursday
21.0,4.9,2022-02-15,Windy,Medium,1,Meal,scooter,1.0,No,Metropolitian,26,10,4.391724962431039,Evening,Tuesday
22.0,4.3,2022-03-07,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,15,3.1028522086456105,Morning,Monday
31.0,4.0,2022-03-18,Fog,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,39,15,11.902753837483976,Evening,Friday
30.0,3.9,2022-04-06,Stormy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,32,15,12.09895659021292,Night,Wednesday
36.0,4.8,2022-03-06,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,43,15,10.846831683112223,Evening,Sunday
24.0,4.7,2022-03-19,Fog,Medium,1,Buffet,scooter,1.0,No,Metropolitian,13,10,6.205738534229064,Evening,Saturday
32.0,4.7,2022-03-21,Windy,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,25,10,1.5513238067891462,Morning,Monday
25.0,5.0,2022-03-19,Windy,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,27,5,9.294705791241629,Evening,Saturday
27.0,4.5,2022-03-28,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,29,15,6.136227883482838,Evening,Monday
32.0,4.1,2022-03-29,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,15,10.845889966900735,Evening,Tuesday
39.0,4.4,2022-03-29,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,33,5,20.14112443663039,Evening,Tuesday
20.0,4.8,2022-03-21,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,28,5,9.414207472710387,Night,Monday
20.0,4.8,2022-03-04,Windy,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,15,10,11.905861749702474,Evening,Friday
29.0,4.6,2022-02-15,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,29,15,4.488577625714156,Night,Tuesday
31.0,4.9,2022-02-13,Sunny,High,0,Snack,motorcycle,0.0,No,Metropolitian,28,15,6.163798689174008,Afternoon,Sunday
24.0,4.7,2022-03-16,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,39,5,20.397442775188328,Night,Wednesday
36.0,4.8,2022-03-20,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,36,5,19.351082464681973,Evening,Sunday
36.0,4.4,2022-03-29,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,37,15,20.832850885766774,Night,Tuesday
26.0,4.7,2022-03-04,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,43,5,20.827407215134496,Night,Friday
30.0,4.6,2022-03-27,Sunny,Low,2,Buffet,scooter,1.0,No,Metropolitian,29,10,16.635239139962547,Night,Sunday
33.0,4.7,2022-03-09,Fog,Medium,2,Buffet,electric_scooter,1.0,No,Urban,15,15,7.747301749382407,Evening,Wednesday
34.0,4.0,2022-03-12,Windy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,39,5,13.743748712643285,Night,Saturday
36.0,4.6,2022-04-04,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,10,12.271931674507936,Night,Monday
27.0,4.9,2022-03-02,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,20,15,12.396903135321155,Night,Wednesday
26.0,4.8,2022-03-27,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,43,10,12.396259636749217,Night,Sunday
29.0,4.5,2022-03-04,Windy,Low,0,Drinks,motorcycle,0.0,No,Urban,15,10,19.630777254615126,Night,Friday
31.0,4.5,2022-04-06,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Urban,29,15,12.43875210831113,Night,Wednesday
28.0,4.6,2022-03-26,Stormy,High,2,Drinks,motorcycle,0.0,No,Metropolitian,14,15,6.135383422532994,Afternoon,Saturday
21.0,4.0,2022-03-28,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,19,5,7.774458242271917,Night,Monday
30.0,4.9,2022-03-18,Windy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,29,10,12.552275755914394,Night,Friday
29.0,4.7,2022-02-11,Cloudy,Medium,2,Buffet,motorcycle,1.0,No,Urban,11,5,5.984484703059433,Evening,Friday
20.0,4.8,2022-03-28,Sunny,High,1,Snack,motorcycle,0.0,No,Metropolitian,14,10,1.527154370684199,Afternoon,Monday
28.0,5.0,2022-02-16,Windy,Low,0,Snack,motorcycle,0.0,No,Urban,15,10,13.713493498525082,Night,Wednesday
25.0,4.7,2022-03-16,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,16,10,10.687630840937123,Night,Wednesday
38.0,4.8,2022-03-28,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,20,5,3.0986894979955277,Morning,Monday
39.0,4.9,2022-03-03,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,26,10,4.60191950861356,Night,Thursday
26.0,4.9,2022-03-13,Windy,Medium,1,Snack,scooter,0.0,No,Metropolitian,26,5,9.107880591147303,Evening,Sunday
33.0,4.4,2022-03-14,Windy,Jam,1,Meal,motorcycle,0.0,No,Urban,43,15,10.883781468541267,Night,Monday
24.0,4.6,2022-03-01,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Urban,25,10,9.074511964797063,Evening,Tuesday
